,Date,Vehicle Category,GVWR Class,Fuel Type,Model Year,Fuel Technology,Electric Mile Range,Number of Vehicles Registered at the Same Address,Region,Vehicle Population
0,2019,P,,0.0,2020.0,ICE,,≥4,Statewide,395883
1,2020,P,,0.0,2020.0,ICE,,1,Statewide,370954
2,2021,P,,0.0,2020.0,ICE,,1,Statewide,349406
3,2019,P,,0.0,2019.0,ICE,,≥4,Statewide,348475
4,2019,P,,0.0,2018.0,ICE,,≥4,Statewide,333296
5,2021,P,,0.0,2021.0,ICE,,1,Statewide,332578
6,2022,P,,0.0,2021.0,ICE,,1,Statewide,329591
7,2021,P,,0.0,2021.0,ICE,,≥4,Statewide,325602
8,2020,P,,0.0,2021.0,ICE,,≥4,Statewide,324732
9,2020,P,,0.0,2020.0,ICE,,≥4,Statewide,322706
10,2020,P,,0.0,2019.0,ICE,,1,Statewide,320225
11,2020,P,,0.0,2018.0,ICE,,1,Statewide,311441
12,2022,P,,0.0,2020.0,ICE,,1,Statewide,310712
13,2022,P,,0.0,2022.0,ICE,,≥4,Statewide,308170
14,2021,P,,0.0,2022.0,ICE,,≥4,Statewide,307614
15,2021,P,,0.0,2020.0,ICE,,≥4,Statewide,304634
16,2022,P,,0.0,2022.0,ICE,,1,Statewide,303436
17,2020,P,,0.0,2021.0,ICE,,1,Statewide,301853
18,2023,P,,0.0,2022.0,ICE,,1,Statewide,299201
19,2023,P,,0.0,2020.0,ICE,,≥4,Statewide,298620
20,2022,P,,0.0,2021.0,ICE,,≥4,Statewide,293473
21,2022,P,,0.0,2020.0,ICE,,≥4,Statewide,293001
22,2023,P,,0.0,2022.0,ICE,,≥4,Statewide,292462
23,2023,P,,0.0,2021.0,ICE,,≥4,Statewide,288606
24,2023,P,,0.0,2021.0,ICE,,1,Statewide,285718
25,2023,P,,0.0,2023.0,ICE,,≥4,Statewide,278774
26,2023,P,,0.0,2020.0,ICE,,1,Statewide,274735
27,2021,P,,0.0,2022.0,ICE,,1,Statewide,272113
28,2019,P,,0.0,2018.0,ICE,,2,Statewide,271799
29,2021,P,,0.0,2019.0,ICE,,1,Statewide,271457
30,2021,P,,0.0,2018.0,ICE,,1,Statewide,271277
31,2019,P,,0.0,2017.0,ICE,,≥4,Statewide,268069
32,2021,P,,0.0,2018.0,ICE,,≥4,Statewide,261931
33,2022,P,,0.0,2023.0,ICE,,≥4,Statewide,261745
34,2021,P,,0.0,2020.0,ICE,,2,Statewide,260113
35,2023,P,,0.0,2018.0,ICE,,≥4,Statewide,258489
36,2020,P,,0.0,2018.0,ICE,,≥4,Statewide,256698
37,2021,P,,0.0,2019.0,ICE,,≥4,Statewide,256406
38,2020,P,,0.0,2020.0,ICE,,2,Statewide,256175
39,2022,P,,0.0,2018.0,ICE,,≥4,Statewide,256164
40,2023,P,,0.0,2019.0,ICE,,≥4,Statewide,255707
41,2020,P,,0.0,2019.0,ICE,,≥4,Statewide,254795
42,2022,P,,0.0,2018.0,ICE,,1,Statewide,254739
43,2022,P,,0.0,2019.0,ICE,,≥4,Statewide,254251
44,2023,P,,0.0,2023.0,ICE,,1,Statewide,254099
45,2022,P,,0.0,2019.0,ICE,,1,Statewide,249656
46,2023,P,,0.0,2024.0,ICE,,≥4,Statewide,248234
47,2019,P,,0.0,2019.0,ICE,,2,Statewide,247916
48,2019,P,,0.0,2012.0,ICE,,≥4,Statewide,247576
49,2022,P,,0.0,2021.0,ICE,,2,Statewide,247033
50,2020,P,,0.0,2017.0,ICE,,1,Statewide,245689
51,2022,P,,0.0,2020.0,ICE,,2,Statewide,245289
52,2020,P,,0.0,2018.0,ICE,,2,Statewide,243955
53,2023,P,,0.0,2020.0,ICE,,2,Statewide,242587
54,2023,P,,0.0,2022.0,ICE,,2,Statewide,239161
55,2021,P,,0.0,2021.0,ICE,,2,Statewide,238798
