,Date,vehicle_category,GVWR_Class,Fuel_Type,Model_Year,Fuel_Technology,Electric_Mile_Range,Vehicle_Population
1163,2023,P,,2.0,2023.0,BEV,>150 miles,29512
1358,2023,P,,2.0,2023.0,BEV,>150 miles,21582
1381,2023,P,,2.0,2023.0,BEV,>150 miles,21028
1424,2023,P,,2.0,2023.0,BEV,>150 miles,20065
1724,2023,P,,2.0,2024.0,BEV,>150 miles,14295
1755,2023,P,,2.0,2024.0,BEV,>150 miles,13842
1808,2023,P,,2.0,2024.0,BEV,>150 miles,13270
1848,2022,P,,2.0,2023.0,BEV,>150 miles,12838
1943,2022,P,,2.0,2023.0,BEV,>150 miles,11768
1949,2022,P,,2.0,2023.0,BEV,>150 miles,11736
1991,2022,P,,2.0,2023.0,BEV,>150 miles,11327
2044,2023,P,,2.0,2022.0,BEV,>150 miles,10873
2058,2023,P,,2.0,2024.0,BEV,>150 miles,10728
2077,2022,P,,2.0,2022.0,BEV,>150 miles,10507
2303,2020,P,,2.0,2020.0,BEV,51 to 100 miles,8626
2316,2020,P,,2.0,2020.0,BEV,51 to 100 miles,8586
2332,2022,P,,2.0,2022.0,BEV,>150 miles,8523
2457,2023,P,,2.0,2022.0,BEV,>150 miles,7790
2466,2022,P,,2.0,2022.0,BEV,>150 miles,7755
2500,2023,P,,2.0,2022.0,BEV,>150 miles,7578
2567,2022,P,,2.0,2021.0,BEV,51 to 100 miles,7210
2604,2021,P,,2.0,2020.0,BEV,51 to 100 miles,7041
2606,2021,P,,2.0,2021.0,BEV,51 to 100 miles,7033
2635,2019,P,,2.0,2020.0,BEV,51 to 100 miles,6876
2663,2023,P,,2.0,2022.0,BEV,>150 miles,6787
2684,2019,P,,2.0,2020.0,BEV,51 to 100 miles,6701
2687,2021,P,,2.0,2021.0,BEV,51 to 100 miles,6691
2694,2022,P,,2.0,2022.0,BEV,>150 miles,6667
2749,2021,P,,2.0,2020.0,BEV,51 to 100 miles,6408
2784,2022,P,,2.0,2021.0,BEV,51 to 100 miles,6306
2802,2020,P,,2.0,2020.0,BEV,51 to 100 miles,6228
2902,2019,P,,2.0,2020.0,BEV,51 to 100 miles,5914
2973,2020,P,,2.0,2020.0,BEV,51 to 100 miles,5684
3020,2021,P,,2.0,2022.0,BEV,>150 miles,5506
3102,2020,P,,2.0,2021.0,BEV,51 to 100 miles,5261
3116,2021,P,,2.0,2022.0,BEV,>150 miles,5216
3127,2019,P,,2.0,2019.0,BEV,51 to 100 miles,5192
3193,2023,P,,2.0,2021.0,BEV,>150 miles,4996
3251,2021,P,,2.0,2020.0,BEV,51 to 100 miles,4848
3268,2021,P,,2.0,2020.0,BEV,51 to 100 miles,4797
3284,2022,P,,2.0,2021.0,BEV,51 to 100 miles,4741
3291,2020,P,,2.0,2021.0,BEV,51 to 100 miles,4722
3316,2021,P,,2.0,2022.0,BEV,>150 miles,4663
3340,2022,P,,2.0,2021.0,BEV,51 to 100 miles,4603
3369,2021,P,,2.0,2021.0,BEV,51 to 100 miles,4546
3384,2022,P,,2.0,2020.0,BEV,51 to 100 miles,4507
3399,2019,P,,2.0,2019.0,BEV,51 to 100 miles,4478
3430,2021,P,,2.0,2021.0,BEV,51 to 100 miles,4389
3438,2023,P,,2.0,2021.0,BEV,>150 miles,4364
3509,2021,P,,2.0,2022.0,BEV,>150 miles,4234
3530,2021,P,,2.0,2021.0,BEV,>150 miles,4187
3586,2019,P,,2.0,2019.0,BEV,51 to 100 miles,4089
3610,2023,P,,2.0,2021.0,BEV,51 to 100 miles,4050
3611,2022,P,,2.0,2020.0,BEV,51 to 100 miles,4050
3622,2020,P,,2.0,2019.0,BEV,51 to 100 miles,4032
3630,2022,P,,2.0,2021.0,BEV,>150 miles,4019
3664,2019,P,,2.0,2018.0,BEV,51 to 100 miles,3957
3741,2020,P,,2.0,2021.0,BEV,51 to 100 miles,3805
3743,2022,P,,2.0,2020.0,BEV,51 to 100 miles,3804
3791,2023,P,,2.0,2022.0,BEV,51 to 100 miles,3716
3811,2020,P,,2.0,2019.0,BEV,51 to 100 miles,3667
3822,2023,P,,2.0,2021.0,BEV,>150 miles,3648
3871,2023,P,,2.0,2021.0,BEV,51 to 100 miles,3581
3872,2020,P,,2.0,2021.0,BEV,51 to 100 miles,3580
3889,2019,P,,2.0,2020.0,BEV,51 to 100 miles,3545
3916,2022,P,,2.0,2020.0,BEV,51 to 100 miles,3509
3925,2023,P,,2.0,2020.0,BEV,51 to 100 miles,3496
3927,2022,P,,2.0,2022.0,BEV,51 to 100 miles,3495
3939,2021,P,,2.0,2021.0,BEV,>150 miles,3471
3966,2022,P,,2.0,2022.0,BEV,51 to 100 miles,3424
4014,2023,P,,2.0,2021.0,BEV,>150 miles,3358
4033,2023,P,,2.0,2022.0,BEV,51 to 100 miles,3316
4035,2023,P,,2.0,2021.0,BEV,51 to 100 miles,3312
4093,2020,P,,2.0,2020.0,BEV,>150 miles,3227
4175,2023,P,,2.0,2022.0,BEV,51 to 100 miles,3111
4221,2022,P,,2.0,2021.0,BEV,>150 miles,3039
