,Date,vehicle_category,GVWR_Class,Fuel_Type,Model_Year,Fuel_Technology,Electric_Mile_Range,Vehicle_Population
0,2019,P,,0.0,2020.0,ICE,,395883
1,2020,P,,0.0,2020.0,ICE,,370954
2,2021,P,,0.0,2020.0,ICE,,349406
3,2019,P,,0.0,2019.0,ICE,,348475
4,2019,P,,0.0,2018.0,ICE,,333296
5,2021,P,,0.0,2021.0,ICE,,332578
6,2022,P,,0.0,2021.0,ICE,,329591
7,2021,P,,0.0,2021.0,ICE,,325602
8,2020,P,,0.0,2021.0,ICE,,324732
9,2020,P,,0.0,2020.0,ICE,,322706
10,2020,P,,0.0,2019.0,ICE,,320225
11,2020,P,,0.0,2018.0,ICE,,311441
12,2022,P,,0.0,2020.0,ICE,,310712
13,2022,P,,0.0,2022.0,ICE,,308170
14,2021,P,,0.0,2022.0,ICE,,307614
15,2021,P,,0.0,2020.0,ICE,,304634
16,2022,P,,0.0,2022.0,ICE,,303436
17,2020,P,,0.0,2021.0,ICE,,301853
18,2023,P,,0.0,2022.0,ICE,,299201
19,2023,P,,0.0,2020.0,ICE,,298620
20,2022,P,,0.0,2021.0,ICE,,293473
21,2022,P,,0.0,2020.0,ICE,,293001
22,2023,P,,0.0,2022.0,ICE,,292462
23,2023,P,,0.0,2021.0,ICE,,288606
24,2023,P,,0.0,2021.0,ICE,,285718
25,2023,P,,0.0,2023.0,ICE,,278774
26,2023,P,,0.0,2020.0,ICE,,274735
27,2021,P,,0.0,2022.0,ICE,,272113
28,2019,P,,0.0,2018.0,ICE,,271799
29,2021,P,,0.0,2019.0,ICE,,271457
30,2021,P,,0.0,2018.0,ICE,,271277
31,2019,P,,0.0,2017.0,ICE,,268069
32,2021,P,,0.0,2018.0,ICE,,261931
33,2022,P,,0.0,2023.0,ICE,,261745
34,2021,P,,0.0,2020.0,ICE,,260113
35,2023,P,,0.0,2018.0,ICE,,258489
36,2020,P,,0.0,2018.0,ICE,,256698
37,2021,P,,0.0,2019.0,ICE,,256406
38,2020,P,,0.0,2020.0,ICE,,256175
39,2022,P,,0.0,2018.0,ICE,,256164
40,2023,P,,0.0,2019.0,ICE,,255707
41,2020,P,,0.0,2019.0,ICE,,254795
42,2022,P,,0.0,2018.0,ICE,,254739
43,2022,P,,0.0,2019.0,ICE,,254251
44,2023,P,,0.0,2023.0,ICE,,254099
45,2022,P,,0.0,2019.0,ICE,,249656
46,2023,P,,0.0,2024.0,ICE,,248234
47,2019,P,,0.0,2019.0,ICE,,247916
48,2019,P,,0.0,2012.0,ICE,,247576
49,2022,P,,0.0,2021.0,ICE,,247033
